Date,bitcoin
2023-06-26,30316.1093212418
2023-06-27,30457.0126014878
2023-06-28,30418.53967566279
2023-06-29,30337.856091059035
2023-06-30,30558.463153947527
2023-07-01,30483.098360737535
2023-07-02,30537.773623033936
2023-07-03,30713.727580433188
2023-07-04,31062.021330327803
2023-07-05,30654.39531602838
2023-07-06,30522.174729669372
